id,class,consumer,site,detail,count,disposition
D0032,reflection-callsite,ACT.TTSYukkuri,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.GetType,3,UNREVIEWED
D0033,reflection-callsite,ACT.TTSYukkuri,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Type.GetMethod,1,UNREVIEWED
D0034,reflection-callsite,ACT.TTSYukkuri,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0035,reflection-callsite,ACT.TTSYukkuri,ACT.Hojoring.Shared.AssemblyResolver::TryLoadAssembly,System.Reflection.Assembly.LoadFrom,1,UNREVIEWED
D0036,reflection-callsite,ACT.TTSYukkuri,ACT.TTSYukkuri.Plugin::InitializePlugin,System.Reflection.Assembly.Load,1,UNREVIEWED
D0037,reflection-callsite,ACT.TTSYukkuri,Costura.AssemblyLoader::Attach,System.AppDomain.GetType,1,UNREVIEWED
D0038,reflection-callsite,ACT.TTSYukkuri,Costura.AssemblyLoader::Attach,System.Type.GetProperty,2,UNREVIEWED
D0039,reflection-callsite,ACT.TTSYukkuri,Costura.AssemblyLoader::ReadFromDiskCache,System.Reflection.Assembly.LoadFile,4,UNREVIEWED
D0040,reflection-callsite,ACT.TTSYukkuri,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly.Load,2,UNREVIEWED
D0041,reflection-callsite,ACT.TTSYukkuri,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0042,reflection-callsite,ACT.TTSYukkuri.Core,ACT.TTSYukkuri.KanjiTranslator::Initialize,System.Activator.CreateInstance,1,UNREVIEWED
D0043,reflection-callsite,ACT.UltraScouter,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.Load,1,UNREVIEWED
D0044,reflection-callsite,ACT.UltraScouter,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.GetType,3,UNREVIEWED
D0045,reflection-callsite,ACT.UltraScouter,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Type.GetMethod,1,UNREVIEWED
D0046,reflection-callsite,ACT.UltraScouter,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0047,reflection-callsite,ACT.UltraScouter,ACT.Hojoring.Shared.AssemblyResolver::TryLoadAssembly,System.Reflection.Assembly.LoadFrom,1,UNREVIEWED
D0048,reflection-callsite,ACT.UltraScouter,ACT.UltraScouter.Plugin::InitializePlugin,System.Reflection.Assembly.Load,1,UNREVIEWED
D0049,reflection-callsite,ACT.UltraScouter,Costura.AssemblyLoader::Attach,System.AppDomain.GetType,1,UNREVIEWED
D0050,reflection-callsite,ACT.UltraScouter,Costura.AssemblyLoader::Attach,System.Type.GetProperty,2,UNREVIEWED
D0051,reflection-callsite,ACT.UltraScouter,Costura.AssemblyLoader::ReadFromDiskCache,System.Reflection.Assembly.LoadFile,4,UNREVIEWED
D0052,reflection-callsite,ACT.UltraScouter,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly.Load,2,UNREVIEWED
D0053,reflection-callsite,ACT.UltraScouter,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0054,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Config.Settings::Reset,System.Type.GetProperties,1,UNREVIEWED
D0055,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Models.Enmity.EnmityModel::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0056,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Models.FFLogs.HistogramModel::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0057,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Models.FFLogs.HistogramsModel::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0058,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Models.FFLogs.ParseTotalModel::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0059,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Models.MobInfo::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0060,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Models.MobListModel::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0061,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.ViewModels.Bases.OverlayViewModelBase::RaiseAllPropertiesChanged,System.Type.GetProperties,1,UNREVIEWED
D0062,reflection-callsite,ACT.UltraScouter.Core,ACT.UltraScouter.Workers.TargetInfoWorker::CreateView,System.Activator.CreateInstance,1,UNREVIEWED
D0063,reflection-callsite,ACT.UltraScouter.Core,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateDelegate,System.Type.InvokeMember,1,UNREVIEWED
D0064,reflection-callsite,ACT.UltraScouter.Core,XamlGeneratedNamespace.GeneratedInternalTypeHelper::CreateInstance,System.Activator.CreateInstance,1,UNREVIEWED
D0065,reflection-callsite,ACT.XIVLog,<InitializePlugin>d__7::MoveNext,System.Reflection.Assembly.Load,1,UNREVIEWED
D0066,reflection-callsite,ACT.XIVLog,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.Load,1,UNREVIEWED
D0067,reflection-callsite,ACT.XIVLog,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.Assembly.GetType,3,UNREVIEWED
D0068,reflection-callsite,ACT.XIVLog,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Type.GetMethod,1,UNREVIEWED
D0069,reflection-callsite,ACT.XIVLog,ACT.Hojoring.Shared.AssemblyResolver::ShowConflictWarning,System.Reflection.MethodBase.Invoke,1,UNREVIEWED
D0070,reflection-callsite,ACT.XIVLog,ACT.Hojoring.Shared.AssemblyResolver::TryLoadAssembly,System.Reflection.Assembly.LoadFrom,1,UNREVIEWED
D0071,reflection-callsite,ACT.XIVLog,Costura.AssemblyLoader::ReadFromEmbeddedResources,System.Reflection.Assembly.Load,2,UNREVIEWED
D0072,reflection-callsite,ACT.XIVLog,Costura.AssemblyLoader::ResolveAssembly,System.Reflection.Assembly.Load,1,UNREVIEWED
D0073,reflection-callsite,Advanced Combat Tracker,<>c::<LoadNewSettings>b__1076_0,System.Type.GetType,1,UNREVIEWED
D0074,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.PluginListingPanel::cbEnabled_CheckedChanged,System.AppDomain.Load,2,UNREVIEWED
D0075,reflection-callsite,Advanced Combat Tracker,Advanced_Combat_Tracker.PluginListingPanel::cbEnabled_CheckedChanged,System.Reflection.Assembly.GetTypes,1,UNREVIEWED
